suite,query_name,mode,disable_zonemap,disable_segment_zonemap,disable_sketch,disable_rabit,runs,avg_total_time_s,avg_row_groups_pruned_by_zonemap,avg_segments_pruned_by_zonemap,avg_segments_pruned_by_sketch,avg_segments_pruned_by_rabit,avg_vectors_processed
distribution_predicates,hotspot_between_hotspot_band,rowgroup_plus_rabit,false,true,true,false,10,0.048020,0.000000,0.000000,0.000000,0.000000,4883.000000
distribution_predicates,hotspot_between_nonhotspot_band,rowgroup_plus_rabit,false,true,true,false,10,0.002360,31.000000,0.000000,0.000000,3002.000000,58.000000
distribution_predicates,hotspot_eq_hotspot_value,rowgroup_plus_rabit,false,true,true,false,10,0.009090,0.000000,0.000000,0.000000,3883.000000,1018.000000
distribution_predicates,hotspot_eq_nonhotspot_value,rowgroup_plus_rabit,false,true,true,false,10,0.001540,31.000000,0.000000,0.000000,3060.000000,0.000000
distribution_predicates,uniform_between_hotspot_band,rowgroup_plus_rabit,false,true,true,false,10,0.001600,71.000000,0.000000,0.000000,601.000000,59.000000
distribution_predicates,uniform_between_nonhotspot_band,rowgroup_plus_rabit,false,true,true,false,10,0.002130,63.000000,0.000000,0.000000,1081.000000,59.000000
distribution_predicates,uniform_eq_hotspot_value,rowgroup_plus_rabit,false,true,true,false,10,0.000500,71.000000,0.000000,0.000000,650.000000,10.000000
distribution_predicates,uniform_eq_nonhotspot_value,rowgroup_plus_rabit,false,true,true,false,10,0.000880,63.000000,0.000000,0.000000,1130.000000,10.000000
layout_selectivity,block_0_1_pct,rowgroup_plus_rabit,false,true,true,false,10,0.000200,81.000000,0.000000,0.000000,54.000000,6.000000
layout_selectivity,block_10_pct,rowgroup_plus_rabit,false,true,true,false,10,0.006250,73.000000,0.000000,0.000000,51.000000,489.000000
layout_selectivity,block_1_pct,rowgroup_plus_rabit,false,true,true,false,10,0.000750,81.000000,0.000000,0.000000,10.000000,50.000000
layout_selectivity,block_20_pct,rowgroup_plus_rabit,false,true,true,false,10,0.012380,65.000000,0.000000,0.000000,43.000000,977.000000
layout_selectivity,block_50_pct,rowgroup_plus_rabit,false,true,true,false,10,0.030360,41.000000,0.000000,0.000000,18.000000,2442.000000
layout_selectivity,block_5_pct,rowgroup_plus_rabit,false,true,true,false,10,0.003220,77.000000,0.000000,0.000000,55.000000,245.000000
layout_selectivity,block_90_pct,rowgroup_plus_rabit,false,true,true,false,10,0.055220,8.000000,0.000000,0.000000,45.000000,4395.000000
layout_selectivity,random_0_1_pct,rowgroup_plus_rabit,false,true,true,false,10,0.041130,0.000000,0.000000,0.000000,612.000000,4284.000000
layout_selectivity,random_10_pct,rowgroup_plus_rabit,false,true,true,false,10,0.079540,0.000000,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_1_pct,rowgroup_plus_rabit,false,true,true,false,10,0.053520,0.000000,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_20_pct,rowgroup_plus_rabit,false,true,true,false,10,0.086830,0.000000,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_50_pct,rowgroup_plus_rabit,false,true,true,false,10,0.106900,0.000000,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_5_pct,rowgroup_plus_rabit,false,true,true,false,10,0.067690,0.000000,0.000000,0.000000,0.000000,4883.000000
